
韩先国,北京航空航天大学,机械工程及自动化学院,北京市机械工程教学示范中心主任。2005年~至今 北京航空航天大学 副教授。
王 伟,北京航空航天大学,机械工程及自动化学院,2016年至今，北京航空航天大学，机械工程及自动化学院，副教授。2012 至 2016年，北京航空航天大学，机械工程及自动化学院，讲师。
李 勋,北京航空航天大学,机械工程及自动化学院,2007年/07月-2008年/11月：北京航星机器制造公司 工程师。
杨毅青,北京航空航天大学,机械工程及自动化学院,2015.7 至今 北京航空航天大学 机械工程及自动化学院 副教授。2011.1 2015.7 北京航空航天大学 机械工程及自动化学院 讲师。
彭 鹏,北京航空航天大学,机械工程及自动化学院,2015.10 至今：北京航空航天大学机械工程及自动化学院 卓越百人 副教授。
从保强,北京航空航天大学,机械工程及自动化学院,2015.07 至今 北京航空航天大学机械工程及自动化学院 副教授。2011.05-2015.07 北京航空航天大学机械工程及自动化学院 讲师。
李光军,北京航空航天大学,机械工程及自动化学院,IROS/ASME/ROBIO 等多种国际学术会议组织及程序委员会成员。
冯 林,北京航空航天大学,机械工程及自动化学院,2011/04 2013/03日本全球卓越中心（ GCOE ） 特任研究员。电气电子工程师学会 (IEEE, Institute of Electrical and Electronics Engineers), 美国。
陈　娟,北京航空航天大学,机械工程及自动化学院,中国人工智能学会空天专委委员，机械工程学会高级会员、 IEEE 会员。
张　融,北京航空航天大学,机械工程及自动化学院,中国建筑装饰学会 会员。北京工业设计学会 理事。
刘艳强,北京航空航天大学,机械工程及自动化学院,2008/06-至今： 北京航空航天大学机械工程及自动化学院 讲师。
孙剑飞,北京航空航天大学,机械工程及自动化学院,2013年-今 北京航空航天大学机械工程及自动化学院讲师。2003年-2005年 中国运载火箭技术研究院技术员，助理工程师。担任中国航空航天工具协会理事。
崔家瑞,北京科技大学,自动化系,2011年07月 2012年05月 国家电网公司-电科院-国网富达 工程师。2012年06月 2015年07月 北京科技大学自动化学院 工程师。2015年07月 至今 北京科技大学自动化学院 高级工程师。
史震云,北京航空航天大学,机械工程及自动化学院,2015/11-至今，北京航空航天大学，机械与自动化学院，讲师。
迟健男,北京科技大学,自动化系,2008年至今为北京科技大学信息工程学院测控技术与仪器系副教授。
陈静,北京科技大学,自动化系,2008年6月-2011年1月 北京科技大学信息工程学院信息基础科学系 讲师。2011年1月-至今 北京科技大学自动化学院电工电子技术系 讲师。
董洁,北京科技大学,自动化系,1997年7月-1999年7月 北京科技大学自动化系 助教。1999年7月-2004年7月 北京科技大学自动化系 讲师。2004年7月-2011年1月 北京科技大学自动化系 副教授。2011年2月至今 北京科技大学控制科学与工程系 副教授。
董冀媛,北京科技大学,自动化系,2001.04-2003.05 北京科技大学自动化学院控制科学与工程系 助教。2003.06-至今 北京科技大学自动化学院控制科学与工程系 讲师。
冯涛,北京科技大学,自动化系,2007年5月至2009年4月，北京科技大学自动化学院实验中心，助理工程师。2009年5月至今，北京科技大学自动化学院实验中心，工程师。
陈先中,北京科技大学,自动化系,北京市仪器仪表标准委员会委员。日本钢铁协会（ISIJ international）海外会员，英国IOP论文评审委员。1998年9月至2007年8月 北京科技大学信息工程学院测控系 副教授。1999年9月至2003年6月 德国ENDRESS+HAUSER公司（Stuttgart）研究员。2003年7月至2004年6月 德国SIEMENS自动化与驱动集团 研究员（兼职）。2007年9月至今 北京科技大学自动化学院仪器科学与技术系 教授。
高海,北京科技大学,自动化系,1982年8月至1984年7月 包头钢铁学院（现内蒙古科技大学） 助教。1992年5月至至今 北京科技大学自动化学院 副教授。
谷宇,北京科技大学,自动化系,中国-白俄罗斯科技交流中心副主任。被北京大学工学院力学与空间技术系聘为特聘研究员。担任自动化学院智能科学与技术系主任。中北大学、贵州大学、贵州师范大学兼职教授。
郭金,北京科技大学,自动化系,2015.07-至今 北京科技大学自动化学院 讲师。
侯庆文,北京科技大学,自动化系,1996.4至今 北京科技大学 自动化学院仪器科学与技术系 副教授。
丁大伟,北京科技大学,自动化系,职 务：系党支部书记。2012年1月至 2012年6月 北京科技大学控制科学与工程系 讲师。2012年7月 2017年6月 北京科技大学控制科学与工程系 副教授。2017年7月至今 北京科技大学控制科学与工程系 教授。
郭祥贵,北京科技大学,自动化系,2012年2月至 2016年9月， 天津理工大学自动化学院，讲师，副教授。2016年10月至今，北京科技大学自动化学院，副教授。
郝彦爽,北京科技大学,自动化系,2002年4月-2004年7月 北京科技大学测控系 助教。2004年7月至今 北京科技大学测控系 讲师。
胡广大,北京科技大学,自动化系,2001年9月 2006年2月 哈尔滨工业大学控制科学与工程学科责任教授，博导。2006年3月 现在 北京科技大学自动化学院教授，博导。
王　伟,北京航空航天大学,机械工程及自动化学院,2011-今，北京航空航天大学，机械设计及自动化系，讲师。国家商用飞机制造工程技术研究中心客座研究员。
贺威,北京科技大学,自动化系,2012年至2015，电子科技大学，自动化工程学院，副教授、博导。2015年至今，北京科技大学，自动化学院，教授、博导。
胡艳艳,北京科技大学,自动化系,2015年7月 至今 北京科技大学自动化学院 讲师。2011年3月至 2013年3月 IBM中国研究院 研究员。
刘冀伟,北京科技大学,自动化系,1991年3月至今 北京科技大学 自动化系 副教授。
刘皓挺,北京科技大学,自动化系,北京航天控制仪器研究所，高级工程师。北京科技大学自动化学院仪器系，副教授。
李果,北京科技大学,自动化系,1986年至1990年 大连海军舰艇学院火控教研室工作，任讲师。1996年至1999年 解放军总装备部中国航天员训练科研中心副研究员。2006年至今 任北京科技大学自动化系副教授。
刘涛,北京科技大学,自动化系,2006年6月-2009年7月 北京科技大学信息工程学院 讲师。2009年7月至今 北京科技大学自动化学院 副教授。
李擎,北京科技大学,自动化系,2000年4月至2000年7月 北京科技大学自动化系 助教。2000年7月至2002年7月 北京科技大学自动化系 讲师。2002年7月至2009年7月 北京科技大学自动化系 副教授。2009年7月至今 ​ 北京科技大学自动化系 教授。
蓝金辉,北京科技大学,自动化系,社会职务：中国微米纳米技术学会理事。中国仪器仪表学会微纳器件与系统技术分会理事。北京自动化学会理事。澳大利亚迪肯大学工作。
刘磊明,北京科技大学,自动化系,2006年4月-2009年7月 北京科技大学信息工程学院 讲师。2009年7月-2011年1月 北京科技大学信息工程学院 副教授。2011年1月至今 北京科技大学自动化学院 副教授。
刘蕴络,北京科技大学,自动化系,北京电子学会电子线路学会理事。北京高教学会电工学研究会理事。1987年09月-1997年11月 武汉 冶金部安全环保研究院 工程师。1997年11月-2000年06月 北京 北京理工大学 讲师。2000年06月 今 北京 北京科技大学 副教授。
李晓理,北京科技大学,自动化系,2005年3月至2010年1月 北京科技大学信息工程学院 ​院长助理。2008年7月至今 北京科技大学信息工程学院 教授（破格）。2009年3月至2010年1月 北京科技大学信息工程学院 自动化系主任。2010年1月至2014年4月 北京科技大学自动化学院 控制科学与工程系主任。
李江昀,北京科技大学,自动化系,2006年4月至2011年2月北京科技大学信息工程学院 自控所 副教授。2011年2月至今 北京科技大学自动化学院 自控所 副教授。
李希胜,北京科技大学,自动化系,社会职务：中国仪器仪表学会理事、北京市自动化学会常务理事。1994/4-1996/7，北京科技大学，自动化信息工程学院，助教。1996/8-2001/7，北京科技大学，信息工程学院，讲师。2001/8 2006/7，北京科技大学，信息工程学院，副教授。2006/8 现在，北京科技大学，自动化学院，教授。
刘德荣,北京科技大学,自动化系,社会职务：IEEE计算智能学会理事。国际自动控制联合会理事会成员。中国自动化学会常务理事。亚太神经网络学会理事。1995年8月 1999年8月，美国斯蒂文斯理工学院电气与计算机工程系助教授。美国芝加哥伊利诺伊大学电气与计算机工程系助教授。2006年8月开始，美国芝加哥伊利诺伊大学电气与计算机工程系终身职正教授。中国科学院自动化研究所研究员。复杂系统管理与控制国家重点实验室副主任。2011年，国家特聘专家（中组部）。
