Name,url
戚飞虎,http://www.seiee.sjtu.edu.cn/english/detail/841_682.htm
申瑞民,
蒋最敏,http://phys.fudan.edu.cn/f7/45/c7605a63301/page.htm
张申生,http://www.hainu.edu.cn/stm/lvyou/2006629/30753.shtml
罗泽伟,http://life.fudan.edu.cn/Data/View/1382
黄上腾,http://www.sjtu.edu.cn/
吴长勤,http://phys.fudan.edu.cn/f7/58/c7605a63320/page.htm
黄大鸣,http://www.fudan.edu.cn/entries/view/2278/
熊思东,
金庆原,http://www.lam.fudan.edu.cn/Data/View/1379
杨玉良,http://www.polymer.fudan.edu.cn/polymer/research/yanggroup/index.htm
陈良尧,http://www.optics.fudan.edu.cn/ShowPeople.aspx?info_lb=441&flag=98&info_id=1158
郭坤宇,http://www.wenku.fudan.edu.cn/scholar/%E9%83%AD%E5%9D%A4%E5%AE%87
金晓峰,http://www.physics.fudan.edu.cn/tps/people/xfjin/chn/c-info.htm
韩平畴,http://www.wenku.fudan.edu.cn/scholar/%E9%9F%A9%E5%B9%B3%E7%95%B4
侯晓远,http://www.physics.fudan.edu.cn/tps/people/xyhou/
余龙,http://life.fudan.edu.cn/Data/View/1440
周鸣飞,http://www.chemistry.fudan.edu.cn/Data/View/965
封东来,http://phys.fudan.edu.cn/f6/c1/c7495a63169/page.htm
金国新,http://www.meplab.fudan.edu.cn/lab_about/staff/high_perform/2012-12-12/121.html
贺鹤勇,http://www.cam.fudan.edu.cn/%e8%b4%ba%e9%b9%a4%e5%8b%87/
李葆明,http://www.wenku.fudan.edu.cn/scholar/%E6%9D%8E%E8%91%86%E6%98%8E
韩珉,http://life.fudan.edu.cn/Data/View/1346
金力,http://www.fudan.edu.cn/entries/view/965/
吴来文,http://www.fudan.edu.cn/2016/channels/view/43/
闻玉梅,http://www.wenku.fudan.edu.cn/scholar/%E9%97%BB%E7%8E%89%E6%A2%85
郑绍濂,http://www.fdsm.fudan.edu.cn/anniversary30/figure.html?p=2
李大潜,http://www.library.fudan.edu.cn/main/info/3766.htm
金亚秋,http://www.wenku.fudan.edu.cn/scholar/%E9%87%91%E4%BA%9A%E7%A7%8B
赵东元,http://www.mesogroup.fudan.edu.cn/
杨,http://www.cs.fudan.edu.cn/?page_id=2665
林国强,http://www.wenku.fudan.edu.cn/scholar/%E6%9E%97%E5%9B%BD%E5%BC%BA
陆汝钤,http://www.wenku.fudan.edu.cn/scholar/%E9%99%86%E6%B1%9D%E9%92%A4
范滇元,http://www.optics.fudan.edu.cn/ShowPeople.aspx?info_lb=424&flag=98&info_id=1213
谈家桢,http://life.fudan.edu.cn/data/list/tjsm
杨雄里,
沈学础,http://phys.fudan.edu.cn/f7/69/c7605a63337/page.htm
